caract0,caract1,caract2,caract3,caract4,caract5,caract6,caract7,caract8,caract9,caract10,caract11,caract12,caract13,caract14,caract15,caract16,caract17,caract18,caract19,caract20,caract21,caract22,caract23,caract24,caract25,caract26,caract27,caract28,caract29,caract30,caract31,caract32,caract33,caract34,caract35,caract36,caract37,caract38,caract39,caract40,nombre_imagen
3.0,5.0,3.0,5.0,4.0,4.0,1.0,1.0,9.0,9.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,2.0,2.0,9.0,1.0,1.0,1.0,9.0,0.0,9.0,0.005482628483315089,2.6279509175427174e-05,2.0725747462954207e-08,1.993348458417095e-08,4.0515343319239264e-16,1.0211265867339303e-10,2.805875958928007e-18,17861.0,780.0,26.0,168.0
3.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,9.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0015748806490565863,1.0365115347096758e-06,1.5306111549370492e-11,3.4061769708529593e-12,2.3604057165468357e-23,2.392762890348269e-15,-6.908305780613088e-24,109575.0,1424.0,243.0,112.0
3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.001431086735990556,5.7960777505559314e-08,6.306701658438317e-13,6.426305391906403e-12,8.387301892348734e-24,-1.5349645010387838e-15,-9.850205063755725e-24,99360.0,1266.0,172.0,144.0
1.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,9.0,0.0,4.0,5.0,1.0,0.001755761628262905,3.697907619925653e-07,1.6882064373968768e-10,2.540021967508014e-12,-3.709568908721475e-23,-8.496558975915218e-16,-3.7288823041994955e-23,62212.0,1016.0,103.0,151.0
3.0,3.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,9.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,2.0,3.0,0.004616464982675191,1.791288087977384e-05,4.7757244450636755e-09,4.3821945927884996e-09,2.0045713515324292e-17,1.851612415247299e-11,2.5667304922662227e-19,17325.0,740.0,27.0,157.0
0.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,9.0,2.0,2.0,2.0,1.0,1.0,9.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,5.0,0.0014036095835772886,1.016954317386483e-08,7.866317043564053e-12,9.414081370227608e-12,-6.277830440537762e-23,1.563997471230167e-16,-5.1204766368213865e-23,103950.0,1290.0,165.0,157.0
3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,9.0,9.0,9.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,0.001375318880633478,1.1922942325993957e-08,4.759757256783988e-12,7.032977896024064e-12,3.830135179622421e-23,-6.1518805879495935e-16,1.373994840351079e-23,106420.0,1306.0,170.0,156.0
0.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,9.0,3.0,3.0,4.0,5.0,0.0,5.0,9.0,9.0,1.0,9.0,5.0,3.0,0.006125091538583846,3.3141221602434956e-05,6.720976127168431e-08,6.59311790976968e-08,4.3888248332517266e-15,3.795549879882417e-10,1.9285054202749847e-17,20520.0,834.0,28.0,180.0
1.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,0.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,0.006173182044189622,2.387420930428921e-05,2.954642761498307e-09,5.433706158641049e-10,4.762925129786213e-19,1.7465940075868962e-12,-4.971538053621706e-19,12998.0,522.0,33.0,97.0
3.0,5.0,5.0,0.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0015293614890185437,8.190395839305843e-07,1.3438096433467967e-11,1.5410506129785928e-12,6.505163802955229e-24,1.0473898470074412e-15,-2.6197016463276273e-24,72944.0,1140.0,188.0,97.0
